DateTime,Vert Accelerometer,Lat Accelerometer,Long Accelerometer
2024-12-03 14:49:30.003000+00:00,-683,-121,-729
2024-12-03 14:49:30.007000+00:00,-683,-137,-733
2024-12-03 14:49:30.011000+00:00,-714,-156,-753
2024-12-03 14:49:30.015000+00:00,-722,-164,-745
2024-12-03 14:49:30.019000+00:00,-737,-183,-741
2024-12-03 14:49:30.023000+00:00,-737,-187,-753
2024-12-03 14:49:30.027000+00:00,-733,-179,-761
2024-12-03 14:49:30.031000+00:00,-745,-176,-749
2024-12-03 14:49:30.035000+00:00,-745,-195,-729
2024-12-03 14:49:30.039000+00:00,-733,-199,-741
2024-12-03 14:49:30.042000+00:00,-749,-164,-749
2024-12-03 14:49:30.046000+00:00,-737,-172,-753
2024-12-03 14:49:30.050000+00:00,-722,-172,-749
2024-12-03 14:49:30.054000+00:00,-718,-176,-729
2024-12-03 14:49:30.058000+00:00,-714,-179,-737
2024-12-03 14:49:30.062000+00:00,-718,-203,-737
2024-12-03 14:49:30.066000+00:00,-698,-191,-733
2024-12-03 14:49:30.070000+00:00,-702,-195,-722
2024-12-03 14:49:30.074000+00:00,-714,-203,-718
2024-12-03 14:49:30.078000+00:00,-725,-218,-679
2024-12-03 14:49:30.081000+00:00,-718,-211,-690
2024-12-03 14:49:30.085000+00:00,-741,-211,-671
2024-12-03 14:49:30.089000+00:00,-757,-215,-636
2024-12-03 14:49:30.093000+00:00,-768,-215,-644
2024-12-03 14:49:30.097000+00:00,-757,-164,-523
2024-12-03 14:49:30.101000+00:00,-745,-179,-671
2024-12-03 14:49:30.105000+00:00,-858,-246,-651
2024-12-03 14:49:30.109000+00:00,-874,-218,-601
2024-12-03 14:49:30.113000+00:00,-878,-164,-585
2024-12-03 14:49:30.117000+00:00,-881,-176,-585
2024-12-03 14:49:30.121000+00:00,-850,-168,-589
2024-12-03 14:49:30.124000+00:00,-842,-172,-593
2024-12-03 14:49:30.128000+00:00,-835,-144,-589
2024-12-03 14:49:30.132000+00:00,-827,-152,-585
2024-12-03 14:49:30.136000+00:00,-811,-133,-577
2024-12-03 14:49:30.140000+00:00,-815,-129,-566
2024-12-03 14:49:30.144000+00:00,-815,-121,-542
2024-12-03 14:49:30.148000+00:00,-800,-137,-554
2024-12-03 14:49:30.152000+00:00,-768,-129,-534
2024-12-03 14:49:30.156000+00:00,-764,-129,-530
2024-12-03 14:49:30.160000+00:00,-725,-121,-507
2024-12-03 14:49:30.164000+00:00,-714,-129,-499
2024-12-03 14:49:30.167000+00:00,-764,-148,-542
2024-12-03 14:49:30.171000+00:00,-776,-125,-562
2024-12-03 14:49:30.175000+00:00,-796,-113,-530
2024-12-03 14:49:30.179000+00:00,-792,-101,-523
2024-12-03 14:49:30.183000+00:00,-792,-90,-503
2024-12-03 14:49:30.187000+00:00,-784,-78,-491
2024-12-03 14:49:30.191000+00:00,-768,-66,-499
2024-12-03 14:49:30.195000+00:00,-761,-82,-503
2024-12-03 14:49:30.199000+00:00,-749,-74,-499
2024-12-03 14:49:30.203000+00:00,-745,-78,-511
2024-12-03 14:49:30.206000+00:00,-741,-90,-507
2024-12-03 14:49:30.210000+00:00,-729,-78,-511
2024-12-03 14:49:30.214000+00:00,-702,-66,-527
2024-12-03 14:49:30.218000+00:00,-698,-70,-527
2024-12-03 14:49:30.222000+00:00,-698,-70,-554
2024-12-03 14:49:30.226000+00:00,-690,-70,-550
2024-12-03 14:49:30.230000+00:00,-686,-90,-558
2024-12-03 14:49:30.234000+00:00,-683,-94,-566
2024-12-03 14:49:30.238000+00:00,-698,-101,-554
2024-12-03 14:49:30.242000+00:00,-706,-98,-566
2024-12-03 14:49:30.246000+00:00,-729,-82,-554
2024-12-03 14:49:30.249000+00:00,-729,-90,-554
2024-12-03 14:49:30.253000+00:00,-737,-86,-550
2024-12-03 14:49:30.257000+00:00,-757,-82,-538
2024-12-03 14:49:30.261000+00:00,-772,-62,-546
2024-12-03 14:49:30.265000+00:00,-776,-62,-542
2024-12-03 14:49:30.269000+00:00,-792,-51,-530
2024-12-03 14:49:30.273000+00:00,-780,-51,-519
2024-12-03 14:49:30.277000+00:00,-780,-62,-519
2024-12-03 14:49:30.281000+00:00,-780,-59,-530
2024-12-03 14:49:30.285000+00:00,-757,-66,-534
2024-12-03 14:49:30.289000+00:00,-764,-78,-523
2024-12-03 14:49:30.292000+00:00,-753,-86,-530
2024-12-03 14:49:30.296000+00:00,-741,-70,-534
2024-12-03 14:49:30.300000+00:00,-737,-86,-542
2024-12-03 14:49:30.304000+00:00,-745,-90,-546
2024-12-03 14:49:30.308000+00:00,-741,-94,-546
2024-12-03 14:49:30.312000+00:00,-737,-94,-554
2024-12-03 14:49:30.316000+00:00,-761,-78,-542
2024-12-03 14:49:30.320000+00:00,-772,-94,-550
2024-12-03 14:49:30.324000+00:00,-757,-74,-577
2024-12-03 14:49:30.328000+00:00,-757,-82,-569
2024-12-03 14:49:30.331000+00:00,-764,-94,-577
2024-12-03 14:49:30.335000+00:00,-753,-101,-589
2024-12-03 14:49:30.339000+00:00,-737,-101,-620
2024-12-03 14:49:30.343000+00:00,-722,-90,-616
2024-12-03 14:49:30.347000+00:00,-737,-105,-605
2024-12-03 14:49:30.351000+00:00,-737,-90,-605
2024-12-03 14:49:30.355000+00:00,-745,-66,-601
2024-12-03 14:49:30.359000+00:00,-749,-74,-601
2024-12-03 14:49:30.363000+00:00,-757,-70,-608
2024-12-03 14:49:30.367000+00:00,-757,-70,-612
2024-12-03 14:49:30.371000+00:00,-796,-62,-601
2024-12-03 14:49:30.374000+00:00,-803,-55,-597
2024-12-03 14:49:30.378000+00:00,-792,-31,-585
2024-12-03 14:49:30.382000+00:00,-768,-43,-597
2024-12-03 14:49:30.386000+00:00,-772,-51,-577
2024-12-03 14:49:30.390000+00:00,-772,-55,-597
