DateTime,Vert Accelerometer,Lat Accelerometer,Long Accelerometer
2024-12-03 14:49:30.003000+00:00,-1006,-593,-328
2024-12-03 14:49:30.007000+00:00,-998,-601,-304
2024-12-03 14:49:30.011000+00:00,-983,-601,-285
2024-12-03 14:49:30.015000+00:00,-948,-601,-254
2024-12-03 14:49:30.019000+00:00,-924,-593,-226
2024-12-03 14:49:30.023000+00:00,-885,-581,-187
2024-12-03 14:49:30.027000+00:00,-858,-566,-179
2024-12-03 14:49:30.031000+00:00,-815,-534,-160
2024-12-03 14:49:30.035000+00:00,-800,-534,-156
2024-12-03 14:49:30.039000+00:00,-780,-507,-133
2024-12-03 14:49:30.042000+00:00,-768,-499,-125
2024-12-03 14:49:30.046000+00:00,-780,-460,-137
2024-12-03 14:49:30.050000+00:00,-772,-445,-152
2024-12-03 14:49:30.054000+00:00,-788,-445,-148
2024-12-03 14:49:30.058000+00:00,-811,-441,-164
2024-12-03 14:49:30.062000+00:00,-823,-445,-168
2024-12-03 14:49:30.066000+00:00,-842,-417,-179
2024-12-03 14:49:30.070000+00:00,-858,-421,-179
2024-12-03 14:49:30.074000+00:00,-881,-398,-187
2024-12-03 14:49:30.078000+00:00,-889,-398,-191
2024-12-03 14:49:30.081000+00:00,-909,-398,-191
2024-12-03 14:49:30.085000+00:00,-905,-402,-207
2024-12-03 14:49:30.089000+00:00,-920,-386,-215
2024-12-03 14:49:30.093000+00:00,-917,-382,-215
2024-12-03 14:49:30.097000+00:00,-909,-343,-203
2024-12-03 14:49:30.101000+00:00,-913,-335,-207
2024-12-03 14:49:30.105000+00:00,-924,-324,-199
2024-12-03 14:49:30.109000+00:00,-913,-332,-195
2024-12-03 14:49:30.113000+00:00,-924,-312,-191
2024-12-03 14:49:30.117000+00:00,-928,-308,-187
2024-12-03 14:49:30.121000+00:00,-932,-320,-191
2024-12-03 14:49:30.124000+00:00,-917,-324,-199
2024-12-03 14:49:30.128000+00:00,-936,-347,-191
2024-12-03 14:49:30.132000+00:00,-940,-359,-199
2024-12-03 14:49:30.136000+00:00,-936,-363,-207
2024-12-03 14:49:30.140000+00:00,-936,-359,-218
2024-12-03 14:49:30.144000+00:00,-944,-374,-230
2024-12-03 14:49:30.148000+00:00,-948,-382,-230
2024-12-03 14:49:30.152000+00:00,-952,-374,-238
2024-12-03 14:49:30.156000+00:00,-967,-374,-226
2024-12-03 14:49:30.160000+00:00,-956,-386,-230
2024-12-03 14:49:30.164000+00:00,-952,-406,-242
2024-12-03 14:49:30.167000+00:00,-959,-406,-242
2024-12-03 14:49:30.171000+00:00,-948,-410,-242
2024-12-03 14:49:30.175000+00:00,-944,-417,-242
2024-12-03 14:49:30.179000+00:00,-940,-425,-234
2024-12-03 14:49:30.183000+00:00,-924,-437,-238
2024-12-03 14:49:30.187000+00:00,-920,-445,-222
2024-12-03 14:49:30.191000+00:00,-924,-460,-211
2024-12-03 14:49:30.195000+00:00,-924,-472,-211
2024-12-03 14:49:30.199000+00:00,-924,-480,-207
2024-12-03 14:49:30.203000+00:00,-920,-499,-211
2024-12-03 14:49:30.206000+00:00,-920,-499,-211
2024-12-03 14:49:30.210000+00:00,-924,-499,-230
2024-12-03 14:49:30.214000+00:00,-924,-503,-222
2024-12-03 14:49:30.218000+00:00,-924,-507,-230
2024-12-03 14:49:30.222000+00:00,-928,-511,-215
2024-12-03 14:49:30.226000+00:00,-932,-519,-203
2024-12-03 14:49:30.230000+00:00,-913,-523,-207
2024-12-03 14:49:30.234000+00:00,-913,-538,-230
2024-12-03 14:49:30.238000+00:00,-893,-519,-242
2024-12-03 14:49:30.242000+00:00,-889,-511,-230
2024-12-03 14:49:30.246000+00:00,-885,-530,-222
2024-12-03 14:49:30.249000+00:00,-874,-542,-226
2024-12-03 14:49:30.253000+00:00,-870,-499,-218
2024-12-03 14:49:30.257000+00:00,-874,-491,-187
2024-12-03 14:49:30.261000+00:00,-835,-511,-168
2024-12-03 14:49:30.265000+00:00,-819,-550,-195
2024-12-03 14:49:30.269000+00:00,-850,-503,-113
2024-12-03 14:49:30.273000+00:00,-850,-519,-133
2024-12-03 14:49:30.277000+00:00,-842,-542,-207
