DateTime,Breathing
2024-12-03 17:29:31.621000+00:00,427
2024-12-03 17:29:31.660000+00:00,422
2024-12-03 17:29:31.699000+00:00,418
2024-12-03 17:29:31.738000+00:00,415
2024-12-03 17:29:31.777000+00:00,413
2024-12-03 17:29:31.816000+00:00,411
2024-12-03 17:29:31.855000+00:00,410
2024-12-03 17:29:31.894000+00:00,408
2024-12-03 17:29:31.933000+00:00,406
2024-12-03 17:29:31.972000+00:00,403
2024-12-03 17:29:32.011000+00:00,400
2024-12-03 17:29:32.050000+00:00,397
2024-12-03 17:29:32.089000+00:00,395
2024-12-03 17:29:32.128000+00:00,393
2024-12-03 17:29:32.167000+00:00,393
2024-12-03 17:29:32.206000+00:00,395
2024-12-03 17:29:32.246000+00:00,401
2024-12-03 17:29:32.285000+00:00,414
2024-12-03 17:29:32.324000+00:00,435
2024-12-03 17:29:32.363000+00:00,461
2024-12-03 17:29:32.402000+00:00,492
2024-12-03 17:29:32.441000+00:00,525
2024-12-03 17:29:32.480000+00:00,559
2024-12-03 17:29:32.519000+00:00,591
2024-12-03 17:29:32.558000+00:00,620
2024-12-03 17:29:32.597000+00:00,642
2024-12-03 17:29:32.636000+00:00,657
2024-12-03 17:29:32.675000+00:00,663
2024-12-03 17:29:32.714000+00:00,662
2024-12-03 17:29:32.753000+00:00,656
2024-12-03 17:29:32.792000+00:00,646
2024-12-03 17:29:32.831000+00:00,636
2024-12-03 17:29:32.871000+00:00,627
2024-12-03 17:29:32.910000+00:00,622
2024-12-03 17:29:32.949000+00:00,626
2024-12-03 17:29:32.988000+00:00,641
2024-12-03 17:29:33.027000+00:00,665
2024-12-03 17:29:33.066000+00:00,692
2024-12-03 17:29:33.105000+00:00,720
2024-12-03 17:29:33.144000+00:00,744
2024-12-03 17:29:33.183000+00:00,761
2024-12-03 17:29:33.222000+00:00,768
2024-12-03 17:29:33.261000+00:00,765
2024-12-03 17:29:33.300000+00:00,754
2024-12-03 17:29:33.339000+00:00,735
2024-12-03 17:29:33.378000+00:00,715
2024-12-03 17:29:33.417000+00:00,693
2024-12-03 17:29:33.456000+00:00,671
2024-12-03 17:29:33.496000+00:00,647
2024-12-03 17:29:33.535000+00:00,625
2024-12-03 17:29:33.574000+00:00,602
2024-12-03 17:29:33.613000+00:00,581
2024-12-03 17:29:33.652000+00:00,563
2024-12-03 17:29:33.691000+00:00,549
2024-12-03 17:29:33.730000+00:00,537
2024-12-03 17:29:33.769000+00:00,527
2024-12-03 17:29:33.808000+00:00,519
2024-12-03 17:29:33.847000+00:00,512
2024-12-03 17:29:33.886000+00:00,504
2024-12-03 17:29:33.925000+00:00,497
2024-12-03 17:29:33.964000+00:00,487
2024-12-03 17:29:34.003000+00:00,475
2024-12-03 17:29:34.042000+00:00,463
2024-12-03 17:29:34.081000+00:00,449
2024-12-03 17:29:34.121000+00:00,437
2024-12-03 17:29:34.160000+00:00,425
2024-12-03 17:29:34.199000+00:00,414
2024-12-03 17:29:34.238000+00:00,405
2024-12-03 17:29:34.277000+00:00,396
2024-12-03 17:29:34.316000+00:00,388
2024-12-03 17:29:34.355000+00:00,381
2024-12-03 17:29:34.394000+00:00,372
2024-12-03 17:29:34.433000+00:00,364
2024-12-03 17:29:34.472000+00:00,355
2024-12-03 17:29:34.511000+00:00,347
2024-12-03 17:29:34.550000+00:00,339
2024-12-03 17:29:34.589000+00:00,331
2024-12-03 17:29:34.628000+00:00,324
2024-12-03 17:29:34.667000+00:00,317
2024-12-03 17:29:34.706000+00:00,312
2024-12-03 17:29:34.746000+00:00,307
2024-12-03 17:29:34.785000+00:00,303
2024-12-03 17:29:34.824000+00:00,300
2024-12-03 17:29:34.863000+00:00,296
2024-12-03 17:29:34.902000+00:00,293
2024-12-03 17:29:34.941000+00:00,291
2024-12-03 17:29:34.980000+00:00,289
2024-12-03 17:29:35.019000+00:00,289
2024-12-03 17:29:35.058000+00:00,288
2024-12-03 17:29:35.097000+00:00,289
2024-12-03 17:29:35.136000+00:00,290
2024-12-03 17:29:35.175000+00:00,292
2024-12-03 17:29:35.214000+00:00,294
2024-12-03 17:29:35.253000+00:00,296
2024-12-03 17:29:35.292000+00:00,299
2024-12-03 17:29:35.331000+00:00,303
2024-12-03 17:29:35.371000+00:00,309
2024-12-03 17:29:35.410000+00:00,317
2024-12-03 17:29:35.449000+00:00,327
2024-12-03 17:29:35.488000+00:00,341
2024-12-03 17:29:35.527000+00:00,355
2024-12-03 17:29:35.566000+00:00,371
2024-12-03 17:29:35.605000+00:00,388
2024-12-03 17:29:35.644000+00:00,406
2024-12-03 17:29:35.683000+00:00,425
2024-12-03 17:29:35.722000+00:00,444
2024-12-03 17:29:35.761000+00:00,463
2024-12-03 17:29:35.800000+00:00,484
2024-12-03 17:29:35.839000+00:00,505
2024-12-03 17:29:35.878000+00:00,527
2024-12-03 17:29:35.917000+00:00,548
2024-12-03 17:29:35.956000+00:00,570
2024-12-03 17:29:35.996000+00:00,591
2024-12-03 17:29:36.035000+00:00,614
2024-12-03 17:29:36.074000+00:00,637
2024-12-03 17:29:36.113000+00:00,664
2024-12-03 17:29:36.152000+00:00,690
2024-12-03 17:29:36.191000+00:00,718
2024-12-03 17:29:36.230000+00:00,745
2024-12-03 17:29:36.269000+00:00,772
2024-12-03 17:29:36.308000+00:00,799
2024-12-03 17:29:36.347000+00:00,824
2024-12-03 17:29:36.386000+00:00,849
