DateTime,Interbeat Interval (MS)
2024-12-03 17:29:31.933000+00:00,773
2024-12-03 17:29:32.675000+00:00,769
2024-12-03 17:29:33.456000+00:00,769
2024-12-03 17:29:34.238000+00:00,781
2024-12-03 17:29:35.019000+00:00,781
2024-12-03 17:29:35.800000+00:00,789
2024-12-03 17:29:36.581000+00:00,777
2024-12-03 17:29:37.324000+00:00,750
2024-12-03 17:29:38.105000+00:00,753
2024-12-03 17:29:38.847000+00:00,750
2024-12-03 17:29:39.589000+00:00,757
2024-12-03 17:29:40.331000+00:00,750
2024-12-03 17:29:41.074000+00:00,738
2024-12-03 17:29:41.855000+00:00,753
2024-12-03 17:29:42.597000+00:00,761
2024-12-03 17:29:43.378000+00:00,773
2024-12-03 17:29:44.160000+00:00,769
2024-12-03 17:29:44.902000+00:00,761
2024-12-03 17:29:45.644000+00:00,753
2024-12-03 17:29:46.425000+00:00,750
2024-12-03 17:29:47.167000+00:00,750
2024-12-03 17:29:47.910000+00:00,738
2024-12-03 17:29:48.613000+00:00,726
2024-12-03 17:29:49.355000+00:00,722
2024-12-03 17:29:50.058000+00:00,722
2024-12-03 17:29:50.800000+00:00,734
2024-12-03 17:29:51.542000+00:00,753
2024-12-03 17:29:52.324000+00:00,777
2024-12-03 17:29:53.144000+00:00,800
2024-12-03 17:29:53.964000+00:00,824
2024-12-03 17:29:54.785000+00:00,843
2024-12-03 17:29:55.683000+00:00,863
2024-12-03 17:29:56.542000+00:00,859
2024-12-03 17:29:57.402000+00:00,863
2024-12-03 17:29:58.261000+00:00,859
2024-12-03 17:29:59.081000+00:00,835
2024-12-03 17:29:59.902000+00:00,828
2024-12-03 17:30:00.722000+00:00,820
2024-12-03 17:30:01.542000+00:00,792
2024-12-03 17:30:02.285000+00:00,773
2024-12-03 17:30:03.066000+00:00,773
2024-12-03 17:30:03.847000+00:00,773
2024-12-03 17:30:04.628000+00:00,785
2024-12-03 17:30:05.410000+00:00,777
2024-12-03 17:30:06.191000+00:00,777
2024-12-03 17:30:06.972000+00:00,781
2024-12-03 17:30:07.753000+00:00,789
2024-12-03 17:30:08.496000+00:00,753
2024-12-03 17:30:09.277000+00:00,750
2024-12-03 17:30:10.019000+00:00,742
2024-12-03 17:30:10.761000+00:00,742
2024-12-03 17:30:11.503000+00:00,742
2024-12-03 17:30:12.246000+00:00,742
2024-12-03 17:30:12.988000+00:00,753
2024-12-03 17:30:13.730000+00:00,750
2024-12-03 17:30:14.472000+00:00,757
2024-12-03 17:30:15.253000+00:00,761
2024-12-03 17:30:15.996000+00:00,742
2024-12-03 17:30:16.738000+00:00,742
2024-12-03 17:30:17.480000+00:00,730
2024-12-03 17:30:18.183000+00:00,707
2024-12-03 17:30:18.886000+00:00,703
2024-12-03 17:30:19.589000+00:00,707
2024-12-03 17:30:20.253000+00:00,687
2024-12-03 17:30:20.956000+00:00,695
2024-12-03 17:30:21.664000+00:00,695
2024-12-03 17:30:22.402000+00:00,734
2024-12-03 17:30:23.183000+00:00,781
2024-12-03 17:30:24.003000+00:00,808
2024-12-03 17:30:24.824000+00:00,847
2024-12-03 17:30:25.644000+00:00,824
2024-12-03 17:30:26.464000+00:00,804
2024-12-03 17:30:27.285000+00:00,808
2024-12-03 17:30:28.066000+00:00,812
2024-12-03 17:30:28.886000+00:00,785
2024-12-03 17:30:29.628000+00:00,777
2024-12-03 17:30:30.410000+00:00,777
2024-12-03 17:30:31.191000+00:00,765
2024-12-03 17:30:31.933000+00:00,761
2024-12-03 17:30:32.714000+00:00,761
2024-12-03 17:30:33.496000+00:00,773
2024-12-03 17:30:34.277000+00:00,781
2024-12-03 17:30:35.058000+00:00,781
2024-12-03 17:30:35.839000+00:00,777
2024-12-03 17:30:36.581000+00:00,765
2024-12-03 17:30:37.324000+00:00,742
2024-12-03 17:30:38.066000+00:00,742
2024-12-03 17:30:38.808000+00:00,734
2024-12-03 17:30:39.550000+00:00,742
2024-12-03 17:30:40.292000+00:00,730
2024-12-03 17:30:41.035000+00:00,750
2024-12-03 17:30:41.816000+00:00,765
2024-12-03 17:30:42.597000+00:00,808
2024-12-03 17:30:43.378000+00:00,789
2024-12-03 17:30:44.199000+00:00,800
2024-12-03 17:30:44.980000+00:00,796
2024-12-03 17:30:45.800000+00:00,792
2024-12-03 17:30:46.581000+00:00,804
2024-12-03 17:30:47.402000+00:00,812
2024-12-03 17:30:48.222000+00:00,820
2024-12-03 17:30:49.003000+00:00,789
2024-12-03 17:30:49.785000+00:00,781
2024-12-03 17:30:50.566000+00:00,773
2024-12-03 17:30:51.308000+00:00,746
2024-12-03 17:30:52.050000+00:00,746
2024-12-03 17:30:52.792000+00:00,750
2024-12-03 17:30:53.574000+00:00,753
2024-12-03 17:30:54.316000+00:00,750
2024-12-03 17:30:55.058000+00:00,761
2024-12-03 17:30:55.839000+00:00,765
2024-12-03 17:30:56.621000+00:00,773
2024-12-03 17:30:57.402000+00:00,785
2024-12-03 17:30:58.183000+00:00,792
2024-12-03 17:30:59.003000+00:00,792
2024-12-03 17:30:59.746000+00:00,777
2024-12-03 17:31:00.527000+00:00,769
2024-12-03 17:31:01.269000+00:00,734
2024-12-03 17:31:01.972000+00:00,703
2024-12-03 17:31:02.714000+00:00,726
2024-12-03 17:31:03.417000+00:00,722
2024-12-03 17:31:04.160000+00:00,753
2024-12-03 17:31:04.902000+00:00,730
2024-12-03 17:31:05.683000+00:00,765
2024-12-03 17:31:06.464000+00:00,781
2024-12-03 17:31:07.246000+00:00,812
2024-12-03 17:31:08.105000+00:00,839
2024-12-03 17:31:08.964000+00:00,859
2024-12-03 17:31:09.824000+00:00,859
2024-12-03 17:31:10.683000+00:00,851
2024-12-03 17:31:11.542000+00:00,851
2024-12-03 17:31:12.363000+00:00,820
2024-12-03 17:31:13.144000+00:00,816
2024-12-03 17:31:13.964000+00:00,816
2024-12-03 17:31:14.785000+00:00,812
2024-12-03 17:31:15.605000+00:00,824
2024-12-03 17:31:16.425000+00:00,808
2024-12-03 17:31:17.206000+00:00,796
2024-12-03 17:31:18.027000+00:00,792
2024-12-03 17:31:18.808000+00:00,785
2024-12-03 17:31:19.589000+00:00,773
2024-12-03 17:31:20.331000+00:00,769
2024-12-03 17:31:21.113000+00:00,789
2024-12-03 17:31:21.933000+00:00,800
2024-12-03 17:31:22.753000+00:00,804
2024-12-03 17:31:23.535000+00:00,812
2024-12-03 17:31:24.355000+00:00,820
2024-12-03 17:31:25.214000+00:00,832
2024-12-03 17:31:26.035000+00:00,839
2024-12-03 17:31:26.855000+00:00,828
2024-12-03 17:31:27.714000+00:00,835
2024-12-03 17:31:28.535000+00:00,828
2024-12-03 17:31:29.355000+00:00,828
2024-12-03 17:31:30.175000+00:00,808
2024-12-03 17:31:30.996000+00:00,808
2024-12-03 17:31:31.777000+00:00,804
2024-12-03 17:31:32.597000+00:00,824
2024-12-03 17:31:33.456000+00:00,832
2024-12-03 17:31:34.277000+00:00,847
2024-12-03 17:31:35.175000+00:00,871
2024-12-03 17:31:36.035000+00:00,890
2024-12-03 17:31:36.933000+00:00,898
2024-12-03 17:31:37.831000+00:00,878
2024-12-03 17:31:38.691000+00:00,859
2024-12-03 17:31:39.550000+00:00,851
2024-12-03 17:31:40.371000+00:00,828
2024-12-03 17:31:41.152000+00:00,773
2024-12-03 17:31:41.894000+00:00,761
2024-12-03 17:31:42.636000+00:00,734
2024-12-03 17:31:43.339000+00:00,714
2024-12-03 17:31:44.081000+00:00,734
2024-12-03 17:31:44.863000+00:00,761
2024-12-03 17:31:45.683000+00:00,824
2024-12-03 17:31:46.542000+00:00,878
2024-12-03 17:31:47.480000+00:00,914
2024-12-03 17:31:48.378000+00:00,917
2024-12-03 17:31:49.277000+00:00,906
2024-12-03 17:31:50.136000+00:00,839
2024-12-03 17:31:50.956000+00:00,832
2024-12-03 17:31:51.777000+00:00,820
2024-12-03 17:31:52.558000+00:00,796
2024-12-03 17:31:53.378000+00:00,808
2024-12-03 17:31:54.199000+00:00,804
2024-12-03 17:31:54.980000+00:00,808
2024-12-03 17:31:55.800000+00:00,816
2024-12-03 17:31:56.621000+00:00,816
2024-12-03 17:31:57.441000+00:00,816
2024-12-03 17:31:58.261000+00:00,796
2024-12-03 17:31:59.042000+00:00,785
2024-12-03 17:31:59.785000+00:00,769
2024-12-03 17:32:00.566000+00:00,753
2024-12-03 17:32:01.308000+00:00,761
2024-12-03 17:32:02.089000+00:00,773
2024-12-03 17:32:02.871000+00:00,785
2024-12-03 17:32:03.652000+00:00,789
2024-12-03 17:32:04.433000+00:00,753
2024-12-03 17:32:05.175000+00:00,761
2024-12-03 17:32:05.956000+00:00,773
2024-12-03 17:32:06.738000+00:00,789
2024-12-03 17:32:07.558000+00:00,800
2024-12-03 17:32:08.339000+00:00,816
2024-12-03 17:32:09.160000+00:00,816
2024-12-03 17:32:09.980000+00:00,800
2024-12-03 17:32:10.761000+00:00,773
2024-12-03 17:32:11.503000+00:00,769
2024-12-03 17:32:12.285000+00:00,773
2024-12-03 17:32:13.066000+00:00,789
2024-12-03 17:32:13.886000+00:00,808
2024-12-03 17:32:14.706000+00:00,820
2024-12-03 17:32:15.527000+00:00,804
2024-12-03 17:32:16.308000+00:00,781
2024-12-03 17:32:17.050000+00:00,765
2024-12-03 17:32:17.831000+00:00,761
2024-12-03 17:32:18.613000+00:00,773
2024-12-03 17:32:19.394000+00:00,796
2024-12-03 17:32:20.214000+00:00,816
2024-12-03 17:32:21.035000+00:00,820
2024-12-03 17:32:21.816000+00:00,804
2024-12-03 17:32:22.597000+00:00,781
2024-12-03 17:32:23.378000+00:00,761
2024-12-03 17:32:24.121000+00:00,750
2024-12-03 17:32:24.863000+00:00,750
2024-12-03 17:32:25.644000+00:00,769
2024-12-03 17:32:26.425000+00:00,765
2024-12-03 17:32:27.206000+00:00,796
2024-12-03 17:32:28.027000+00:00,804
2024-12-03 17:32:28.808000+00:00,792
2024-12-03 17:32:29.628000+00:00,804
2024-12-03 17:32:30.410000+00:00,800
2024-12-03 17:32:31.191000+00:00,789
2024-12-03 17:32:31.972000+00:00,785
2024-12-03 17:32:32.753000+00:00,773
2024-12-03 17:32:33.535000+00:00,769
2024-12-03 17:32:34.277000+00:00,761
2024-12-03 17:32:35.019000+00:00,746
2024-12-03 17:32:35.800000+00:00,746
2024-12-03 17:32:36.542000+00:00,757
2024-12-03 17:32:37.324000+00:00,781
2024-12-03 17:32:38.144000+00:00,808
2024-12-03 17:32:38.925000+00:00,804
2024-12-03 17:32:39.746000+00:00,796
2024-12-03 17:32:40.488000+00:00,773
2024-12-03 17:32:41.230000+00:00,738
2024-12-03 17:32:41.933000+00:00,703
2024-12-03 17:32:42.675000+00:00,714
2024-12-03 17:32:43.378000+00:00,707
2024-12-03 17:32:44.121000+00:00,734
2024-12-03 17:32:44.863000+00:00,765
2024-12-03 17:32:45.644000+00:00,773
2024-12-03 17:32:46.425000+00:00,796
2024-12-03 17:32:47.246000+00:00,792
2024-12-03 17:32:48.027000+00:00,785
2024-12-03 17:32:48.808000+00:00,777
2024-12-03 17:32:49.550000+00:00,738
2024-12-03 17:32:50.292000+00:00,746
2024-12-03 17:32:51.035000+00:00,753
2024-12-03 17:32:51.816000+00:00,765
2024-12-03 17:32:52.597000+00:00,796
2024-12-03 17:32:53.378000+00:00,800
2024-12-03 17:32:54.238000+00:00,832
2024-12-03 17:32:55.097000+00:00,863
2024-12-03 17:32:55.956000+00:00,882
2024-12-03 17:32:56.855000+00:00,871
2024-12-03 17:32:57.675000+00:00,847
2024-12-03 17:32:58.535000+00:00,839
2024-12-03 17:32:59.355000+00:00,839
2024-12-03 17:33:00.214000+00:00,828
2024-12-03 17:33:01.035000+00:00,820
2024-12-03 17:33:01.816000+00:00,804
2024-12-03 17:33:02.636000+00:00,792
2024-12-03 17:33:03.417000+00:00,781
2024-12-03 17:33:04.160000+00:00,773
2024-12-03 17:33:04.941000+00:00,773
2024-12-03 17:33:05.722000+00:00,769
2024-12-03 17:33:06.503000+00:00,777
2024-12-03 17:33:07.285000+00:00,796
2024-12-03 17:33:08.105000+00:00,804
2024-12-03 17:33:08.886000+00:00,804
2024-12-03 17:33:09.706000+00:00,816
2024-12-03 17:33:10.527000+00:00,824
2024-12-03 17:33:11.347000+00:00,812
2024-12-03 17:33:12.128000+00:00,785
2024-12-03 17:33:12.871000+00:00,734
2024-12-03 17:33:13.613000+00:00,746
2024-12-03 17:33:14.355000+00:00,746
2024-12-03 17:33:15.136000+00:00,769
2024-12-03 17:33:15.917000+00:00,789
2024-12-03 17:33:16.699000+00:00,792
2024-12-03 17:33:17.519000+00:00,792
2024-12-03 17:33:18.300000+00:00,789
2024-12-03 17:33:19.081000+00:00,785
2024-12-03 17:33:19.863000+00:00,769
2024-12-03 17:33:20.605000+00:00,750
2024-12-03 17:33:21.347000+00:00,750
2024-12-03 17:33:22.089000+00:00,746
2024-12-03 17:33:22.871000+00:00,761
2024-12-03 17:33:23.652000+00:00,773
2024-12-03 17:33:24.433000+00:00,785
2024-12-03 17:33:25.214000+00:00,804
2024-12-03 17:33:26.035000+00:00,808
2024-12-03 17:33:26.855000+00:00,804
2024-12-03 17:33:27.636000+00:00,785
2024-12-03 17:33:28.417000+00:00,777
2024-12-03 17:33:29.199000+00:00,781
2024-12-03 17:33:29.980000+00:00,789
2024-12-03 17:33:30.761000+00:00,800
2024-12-03 17:33:31.581000+00:00,808
2024-12-03 17:33:32.402000+00:00,808
2024-12-03 17:33:33.183000+00:00,804
2024-12-03 17:33:34.003000+00:00,800
