DateTime,Interbeat Interval (MS)
2024-12-03 17:29:31.871000+00:00,468
2024-12-03 17:29:32.339000+00:00,468
2024-12-03 17:29:32.847000+00:00,472
2024-12-03 17:29:33.316000+00:00,472
2024-12-03 17:29:33.785000+00:00,472
2024-12-03 17:29:34.253000+00:00,476
2024-12-03 17:29:34.722000+00:00,480
2024-12-03 17:29:35.230000+00:00,484
2024-12-03 17:29:35.699000+00:00,484
2024-12-03 17:29:36.206000+00:00,488
2024-12-03 17:29:36.675000+00:00,484
2024-12-03 17:29:37.144000+00:00,488
2024-12-03 17:29:37.652000+00:00,484
2024-12-03 17:29:38.121000+00:00,480
2024-12-03 17:29:38.589000+00:00,472
2024-12-03 17:29:39.058000+00:00,464
2024-12-03 17:29:39.527000+00:00,464
2024-12-03 17:29:39.996000+00:00,460
2024-12-03 17:29:40.464000+00:00,460
2024-12-03 17:29:40.894000+00:00,460
2024-12-03 17:29:41.363000+00:00,468
2024-12-03 17:29:41.871000+00:00,488
2024-12-03 17:29:42.378000+00:00,507
2024-12-03 17:29:42.886000+00:00,511
2024-12-03 17:29:43.394000+00:00,503
2024-12-03 17:29:43.902000+00:00,507
2024-12-03 17:29:44.410000+00:00,515
2024-12-03 17:29:44.917000+00:00,515
2024-12-03 17:29:45.425000+00:00,507
2024-12-03 17:29:45.933000+00:00,500
2024-12-03 17:29:46.441000+00:00,492
2024-12-03 17:29:46.910000+00:00,472
2024-12-03 17:29:47.378000+00:00,468
2024-12-03 17:29:47.847000+00:00,460
2024-12-03 17:29:48.277000+00:00,457
2024-12-03 17:29:48.746000+00:00,453
2024-12-03 17:29:49.214000+00:00,457
2024-12-03 17:29:49.644000+00:00,457
2024-12-03 17:29:50.113000+00:00,457
2024-12-03 17:29:50.581000+00:00,453
2024-12-03 17:29:51.011000+00:00,453
2024-12-03 17:29:51.480000+00:00,457
2024-12-03 17:29:51.949000+00:00,457
2024-12-03 17:29:52.378000+00:00,453
2024-12-03 17:29:52.847000+00:00,457
2024-12-03 17:29:53.316000+00:00,460
2024-12-03 17:29:53.785000+00:00,460
2024-12-03 17:29:54.214000+00:00,460
2024-12-03 17:29:54.683000+00:00,460
2024-12-03 17:29:55.152000+00:00,453
2024-12-03 17:29:55.581000+00:00,445
2024-12-03 17:29:56.050000+00:00,445
2024-12-03 17:29:56.480000+00:00,445
2024-12-03 17:29:56.910000+00:00,441
2024-12-03 17:29:57.378000+00:00,441
