TIME,LABEL,Structure
0.023219955,Clapping,A0
8.661043084,Instructor,0
15.162630385,Laughter,
20.271020408,Instructor,
24.241632653,Laughter,
25.425850340,Instructor,D
32.531156463,Task: Find partner and place,T
32.786575964,Laughter,
37.593106576,Laughter,
75.162993197,F speak,
78.831746032,Instructor calls attention,0
92.276099773,Task: assigne roles,D0
98.824126984,Left hand free raise (you are me),T0
109.249886621,Right hand free raise,
114.335056689,hand up,
120.929523810,Demo 1: Default hold,D1
126.409433107,Attempts,T1
135.836734694,Ins: Stepping,
139.296507937,Ins: 1 2 1 2,
151.556643991,Demo 2: Parade Follow,D2
157.524172336,Attempts,T2
183.971700680,Ins,
200.573968254,Ins call for attention,0
207.516734694,Demo 3: Forward shoulder hold,D3
217.385215420,New Point,
219.985850340,Demo 4: Spin,D4
228.879092971,Attempts,T4
236.448798186,New Point,
242.996825397,Stomps,
258.182675737,New Point,
262.896326531,Quiets,0
267.609977324,Demo 5: Pancake,D5
279.870113379,Attempts,T5
296.472380952,New Point,
300.559092971,New Point,
303.879546485,Instructor Call for music and Demo 6: Telemark gangar step,
332.950929705,Fiddle music 1,M1
384.452789116,end of music 1,
385.776326531,Cheers,A1
396.852244898,Instructor,0
400.985396825,Laughter,
402.680453515,Demo 6: Release to spin,D6
407.533424036,New Point,
409.716099773,Attempts,T6
412.270294785,New Point,
414.731609977,New Point,
420.118639456,New Point,
427.316825397,New Point,
434.491791383,Demo 7: Lausedans gangar,D7
436.465487528,New Point,
438.160544218,Attempts,T6
441.689977324,New Point,
442.804535147,New Point,
447.587845805,Demo 8: Default hold,D8
455.691609977,Attempts,T8
464.538412698,Instructor,0
473.454875283,Demo 9: Change partner,D9
479.375963719,Attempts,T9
481.883718821,New Point,
486.365170068,Call for full dance,0
494.840453515,New Point,
497.510748299,Demo 10: Instructor Scene setting for quiet steps,D10
551.172063492,Music 2,M2
599.469569161,New Point,
602.790022676,New Point,
621.992925170,Music 2 end (shush),0
627.635374150,Music 3,M3
670.127891156,New Point,
746.823401361,Music 3 end,
749.795555556,Cheers,A2
766.235283447,quiet,0
770.136235828,New Point,
773.317369615,Applause,A3
790.012517007,New Point,
824.749569161,Applause end,0
828.000362812,New Point,
833.735691610,New Point,
840.632018141,Music 4,M4
876.692607710,New Point,
882.961995465,New Point,
1017.405532880,Music 4 end,
1018.427210884,Cheers,A4
1029.201269841,New Point,
1034.448979592,Music 5,M5
1216.539863946,Music 5 end,
1216.772063492,Cheers,A5
1238.227301587,End of cheers,0
1244.612789116,New Point,
1246.284625850,Cheers,A6
1257.406984127,New Point,
1260.843537415,Cheers end,0
1271.083537415,Cheers,A7
1280.116099773,Cheers end,0
